Id,Code,Name,Version
163,tt0053125,North by Northwest,1
164,tt0489270,Saw III,1
165,tt0432348,Saw II,1
166,tt0071141,Angst essen Seele auf,1
167,tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,1
168,tt0088247,The Terminator,1
169,tt0441909,Volver,1
170,tt0048028,East of Eden,1
171,tt0048545,Rebel Without a Cause,1
172,tt0017668,Berlin: Die Sinfonie der Grosstadt,1
173,tt0032976,Rebecca,1
174,tt0075902,Człowiek z marmuru,1
175,tt0082222,Czlowiek z zelaza,1
176,tt0171804,Boys Don't Cry,1
177,tt0086066,The Outsiders,1
178,tt0020697,Der blaue Engel,1
179,tt0026138,Bride of Frankenstein,1
180,tt0365737,Syriana,1
181,tt0086216,Rumble Fish,1
182,tt0080117,The Wanderers,1
183,tt0010323,Das Cabinet des Dr. Caligari,1
184,tt0092005,Stand by Me,1
185,tt0110598,Muriel's Wedding,1
186,tt0289635,Young Adam,1
187,tt0068646,The Godfather,1
188,tt0053291,Some Like It Hot,1
189,tt0071562,The Godfather: Part II,1
190,tt0110632,Natural Born Killers,1
191,tt0099674,The Godfather: Part III,1
192,tt0146882,High Fidelity,1
193,tt0024216,King Kong,1
194,tt0276751,About a Boy,1
195,tt0363226,座頭市,1
196,tt0049406,The Killing,1
197,tt0055312,Pocketful of Miracles,1
198,tt0098621,The War of the Roses,1
199,tt0180748,I Kina spiser de hunde,1
200,tt0099653,Ghost,1
201,tt0067992,Willy Wonka & the Chocolate Factory,1
202,tt0070328,Live and Let Die,1
203,tt0360717,King Kong,1
204,tt0062695,Baisers volés,1
205,tt1180329,Antoine et Colette,1
206,tt0380599,Oliver Twist,1
207,tt0065651,Domicile Conjugal,1
208,tt0078771,L'amour en fuite,1
209,tt0026029,The 39 Steps,1
210,tt0051459,Cat on a Hot Tin Roof,1
211,tt0085794,The King of Comedy,1
212,tt0082661,Lili Marleen,1
213,tt0057345,Le Mépris,1
214,tt0118819,Carne trémula,1
215,tt0096895,Batman,1
216,tt0053472,À bout de souffle,1
217,tt0088015,Ronja Rövardotter,1
218,tt0372784,Batman Begins,1
219,tt0276617,Das weisse Rauschen,1
220,tt0102926,The Silence of the Lambs,1
221,tt0116282,Fargo,1
